Title,Year,Citation,Retraction,Retraction Time (days),Open Access,Number of Authors,Number of Retractions by Publishers,Number of Retractions by Journal,SJR,Journal Discontinue,Total Retractions by Authors
Research on Complex Classification Algorithm of Breast Cancer Chip Based on SVM-RFE Gene Feature Screening,2020,13,1,1166,1,3,4115.0,9.0,0.445,0,4
Association between Elderly Sarcopenia and Inflammatory Cytokine Interleukin-17: A Cross-Sectional Study,2023,0,1,204,1,6,4115.0,193.0,0.656,0,51
Beta-Sitosterol Facilitates GLUT4 Vesicle Fusion on the Plasma Membrane via the Activation of Rab/IRAP/Munc 18 Signaling Pathways in Diabetic Gastrocnemius Muscle of Adult Male Rats,2022,5,1,288,1,10,4115.0,8.0,0.764,0,12
Abnormal GRHL2 Methylation Confers Malignant Progression to Acute Leukemia,2022,0,1,343,1,7,4115.0,43.0,0.0,1,60
Correlation between Endometrial Vascular Endothelial Growth Factor Expression and Pregnancy Outcome of FrozenâThawed Embryo Transfer in Patients with Repeated Implantation Failure,2022,0,1,321,1,6,4115.0,43.0,0.0,1,31
"Role of CD4+T, CD8+T Cells, and CD4+T/CD8+T Cell Ratio in Gastric Cancer and Its Clinical Significance",2022,6,1,473,1,7,4115.0,43.0,0.0,1,29
Role of the P2X7 receptor in inflammation-mediated changes in the osteogenesis of periodontal ligament stem cells,2019,39,1,1602,1,7,1008.0,42.0,0.0,0,31
Application of Chinese Classical Garden Landscaping Techniques in Modern Indoor Natural Landscape Design from the Perspective of Virtual Reality Technology,2022,3,1,249,1,1,4115.0,113.0,0.0,1,2
Carvedilol protection against endogenous AÎ²-induced neurotoxicity in N2a cells,2018,20,1,1842,1,2,3505.0,6.0,0.878,0,53
Long noncoding RNA HEIH depletion depresses esophageal carcinoma cell progression by upregulating microRNA-185 and downregulating KLK5,2020,12,1,1121,1,9,1008.0,42.0,0.0,0,41
Two Potential Biomarkers for the Diagnosis and Prognosis of Laryngeal Carcinoma: CCL20 and IL-17A,2022,1,1,310,1,7,4115.0,406.0,0.0,1,37
CDK4/6 inhibition suppresses tumour growth and enhances the effect of temozolomide in glioma cells,2020,26,1,1072,1,5,2080.0,23.0,0.0,0,42
Long non-coding RNA ELFN1-AS1 promoted colon cancer cell growth and migration via the miR-191-5p/special AT-rich sequence-binding protein 1 axis,2021,14,1,816,1,5,246.0,42.0,1.066,0,19
MicroRNA-454 regulates stromal cell derived factor-1 in the control of the growth of pancreatic ductal adenocarcinoma,2016,31,1,2645,1,6,1008.0,188.0,0.9,0,27
Hsa_circ_0008945 Promoted Breast Cancer Progression by Targeting miR-338-3p,2019,23,1,1245,1,2,487.0,192.0,0.81,0,54
8-bromo-7-methoxychrysin suppress stemness of SMMC-7721 cells induced by co-culture of liver cancer stem-like cells with hepatic stellate cells,2019,9,1,1317,1,8,451.0,21.0,1.087,0,28
YY1 suppresses proliferation and migration of pancreatic ductal adenocarcinoma by regulating the CDKN3/MdM2/P53/P21 signaling pathway,2017,56,1,2057,1,13,2080.0,37.0,2.131,0,52
Evaluation of genetic diversity in geranium (Geraniaceae) using RAPD marker,2021,32,1,734,1,3,30.0,30.0,0.205,0,10
RAPD profiling in detecting genetic variation in Stellaria L. (Caryophyllaceae),2021,35,1,734,1,3,30.0,30.0,0.205,0,8
Population differentiation and gene flow in Rrodium cicutarium: A potential medicinal plant,2020,45,1,1092,1,3,30.0,30.0,0.205,0,11
"Gene flow and population structure in Allochrusa (caryophylloideae, caryophyllaceae) with the use of molecular markers",2021,3,1,734,1,3,30.0,30.0,0.205,0,8
Molecular identification and genetic diversity in Hypericum L.: A high value medicinal plant using RAPD markers markers,2021,44,1,734,1,6,30.0,30.0,0.205,0,11
Genetic diversity and inter-relationship among Stellaria L. (Caryophyllaceae) species by ISSR markers,2021,0,1,730,1,2,30.0,30.0,0.205,0,3
Species identification and population structure analysis in Hesperis L. (Brassicaceae),2021,0,1,730,1,4,30.0,30.0,0.205,0,4
Strong genetic differentiation of the Paracaryum species (Boraginaceae) detected by inter-simple sequence repeats (ISSR),2021,0,1,730,1,2,30.0,30.0,0.205,0,3
Evaluation of genetic variability Rindera using RAPD markers,2022,1,1,369,1,1,30.0,30.0,0.205,0,2
Comparison of individual based approaches using RAPD markers for identifying genetic relationships in Erodium (Geranaiceae),2021,0,1,726,1,3,30.0,30.0,0.205,0,5
Genetic diversity and relationships among Salvia species by ISSR markers,2021,7,1,730,1,5,30.0,30.0,0.205,0,18
Population differentiation and gene flow of Glaucium flavum (Papaveraceae),2022,0,1,369,1,2,30.0,30.0,0.205,0,5
Species identification and genetic diversity of Alcea (Malvaceae) using SCoT molecular markers: Medicinal plant,2022,1,1,369,1,7,30.0,30.0,0.205,0,10
Genetic diversity and gene-pool of Salicornia Sinus-Persica Akhani based on retrotransposon-based markers,2021,0,1,726,1,5,30.0,30.0,0.205,0,9
Detecting DNA polymorphism and genetic diversity in a wide pistachio germplasm by RAPD markers,2021,2,1,726,1,2,30.0,30.0,0.205,0,5
Morphometric analysis and genetic diversity in Pistacia species populations using sequence related amplified polymorphism,2021,0,1,726,1,5,30.0,30.0,0.205,0,9
Study on genetic diversity between Erodium (Geranaiceae) species based on inter-simple sequence repeat markers,2021,0,1,730,1,3,30.0,30.0,0.205,0,2
Gene flow and genetic structure between populations of Hesperis L. (Brassicaceae) species using molecular markers,2021,0,1,730,1,4,30.0,30.0,0.205,0,5
Genetic diversity of Lonicera L. (Caprifoliaceae) estimated by molecular markers and morphological characters,2021,0,1,730,1,4,30.0,30.0,0.205,0,3
Genetic diversity and gene-pool of Aegilops tauschii Coss. (Poaceae) based on retrotransposon-based markers,2021,0,1,726,1,3,30.0,30.0,0.205,0,6
Assessment of genetic structure and diversity of Erodium (Geranaiceae) species,2021,0,1,730,1,3,30.0,30.0,0.205,0,29
Genetic diversity in Stellaria L. (Caryophyllaceae) using sequence related amplified polymorphism,2021,0,1,726,1,3,30.0,30.0,0.205,0,6
Scot molecular markers and population differentiation in Hedera helix L,2021,3,1,730,1,3,30.0,30.0,0.205,0,3
RAPD profiling in detecting genetic variation in Glaucium (papaveraceae) species: Edible and medicinal plant,2021,0,1,726,1,4,30.0,30.0,0.205,0,4
Population genetic structure and gene flow in Alcea aucheri (Boiss.) Alef.: A potential medicinal plant,2021,0,1,730,1,6,30.0,30.0,0.205,0,19
miRâ216b inhibits glioma cell migration and invasion through suppression of FoxM1,2017,17,1,2312,1,5,445.0,108.0,0.864,0,61
The therapeutic effect of artesunate on rosacea through the inhibition of the JAK/STAT signaling pathway,2018,21,1,2037,1,8,445.0,135.0,0.781,0,23
Plant-growth-promoting Bacillus and Paenibacillus species improve the nutritional status of Triticum aestivum L.,2020,23,1,1404,1,12,726.0,685.0,0.839,0,22
RNA m6A methylation regulates the epithelial mesenchymal transition of cancer cells and translation of Snail,2019,385,1,1625,1,12,1008.0,31.0,4.887,0,32
"Alterations in the Endometrium of Rats, Rabbits, and Macaca mulatta that Received an Implantation of Copper/Low-Density Polyethylene Nanocomposite",2014,8,1,3564,1,14,487.0,57.0,1.273,0,87
Co-delivery of doxorubicin and SIS3 by folate-targeted polymeric micelles for overcoming tumor multidrug resistance,2021,7,1,557,1,8,3505.0,3.0,0.994,0,20
Protein Kinase C beta Mediates CD40 Ligand-Induced Adhesion of Monocytes to Endothelial Cells,2013,8,1,3532,1,8,726.0,685.0,0.839,0,21
Alpha-Fetoprotein Promoter-Driven Cre/LoxP-Switched RNA Interference for Hepatocellular Carcinoma Tissue-Specific Target Therapy,2013,18,1,3725,1,10,726.0,685.0,0.839,0,34
Long noncoding RNA LINC00858 promotes osteosarcoma through regulating miR-139-CDK14 axis,2018,33,1,1647,1,6,4020.0,56.0,0.0,0,15
circNSUN2 promotes the malignant biological behavior of colorectal cancer cells via the miRâ181aâ5p/ROCK2 axis,2021,7,1,914,1,9,445.0,108.0,0.864,0,30
Two Transition Metal Coordination Polymers: Luminescent Sensing Properties and Treatment Effect on Chronic Periodontitis by Reducing IL-6 and TNF-Î± Content,2020,2,1,880,1,4,3505.0,7.0,0.39,0,26
Screening of Key Prognosis Genes of Lung Adenocarcinoma Based on Expression Analysis on TCGA Database,2022,3,1,346,1,7,4115.0,20.0,0.0,1,33
SFRP2 is a Novel Diagnostic Biomarker and Suppresses the Proliferation of Pituitary Adenoma,2022,1,1,419,1,6,4115.0,20.0,0.0,1,63
Red Blood Cell Membrane-Camouflaged Gold Nanoparticles for Treatment of Melanoma,2022,2,1,419,1,3,4115.0,20.0,0.0,1,27
Resveratrol reduces acute lung injury in a LPSâinduced sepsis mouse model via activation of Sirt1,2013,85,1,3868,1,15,445.0,135.0,0.781,0,73
PRR15 Is a Novel Diagnostic and Prognostic Biomarker in Papillary Thyroid Cancer and Modulates the Tumor Microenvironment,2022,0,1,448,1,5,4115.0,20.0,0.0,1,25
Mesothelial cells differentiate into fibroblast-like cells under the scirrhous gastric cancer microenvironment and promote peritoneal carcinomatosis in vitro and in vivo,2013,22,1,3450,1,9,3505.0,31.0,0.901,0,16
Matrine alleviates lipopolysaccharide-induced intestinal inflammation and oxidative stress via CCR7 signal,2017,33,1,1898,1,10,48.0,37.0,0.789,0,54
Long noncoding RNA LCTS5 inhibits non-small cell lung cancer by interacting with INO80,2020,5,1,1293,1,5,4020.0,81.0,1.257,0,14
Xanthan gum/oil body-microgel emulsions with enhanced transdermal absorption for accelerating wound healing,2022,6,1,308,1,9,4020.0,11.0,1.245,0,91
